sound,weight,wanted_share,got_share,words
a,1,4.527,6.604,990
o,0.9,4.074,6.157,923
s,1,4.527,6.057,908
r,1,4.527,5.683,852
l,0.85,3.848,5.003,750
i,0.85,3.848,4.909,736
e,0.9,4.074,4.876,731
t,1,4.527,4.863,729
u,0.75,3.395,4.776,716
k,1,4.527,4.582,687
p,1,4.527,4.556,683
d,1,4.527,4.402,660
z,1,4.527,4.389,658
f,1,4.527,4.002,600
n,1,4.527,3.969,595
b,1,4.527,3.795,569
g,1,4.527,3.689,553
m,1,4.527,3.268,490
v,1,4.527,3.155,473
x,0.6,2.716,1.808,271
q,0.6,2.716,1.708,256
tx,0.5,2.263,1.234,185
dj,0.5,2.263,1.221,183
y,0.45,2.037,1.041,156
w,0.45,2.037,1.034,155
h,0.3,1.358,0.894,134
c,0.16,0.724,0.880,132
j,0.15,0.679,0.740,111
C,0.13,0.589,0.707,106
