sound,weight,wanted_share,got_share,words
a,1,4.527,6.248,909
r,1,4.527,5.980,870
e,0.9,4.074,5.657,823
o,0.9,4.074,5.650,822
s,1,4.527,5.629,819
u,0.75,3.395,5.306,772
i,0.85,3.848,5.292,770
l,0.85,3.848,4.997,727
k,1,4.527,4.605,670
p,1,4.527,4.399,640
t,1,4.527,4.186,609
b,1,4.527,4.007,583
f,1,4.527,3.973,578
g,1,4.527,3.959,576
n,1,4.527,3.870,563
d,1,4.527,3.822,556
m,1,4.527,3.574,520
v,1,4.527,3.574,520
z,1,4.527,3.107,452
x,0.6,2.716,2.316,337
q,0.6,2.716,1.897,276
j,0.15,0.679,1.162,169
c,0.16,0.724,1.113,162
tx,0.5,2.263,1.031,150
dj,0.5,2.263,1.024,149
C,0.13,0.589,0.990,144
y,0.45,2.037,0.935,136
w,0.45,2.037,0.928,135
h,0.3,1.358,0.770,112
