sound,weight,wanted_share,got_share,words
a,1,4.527,6.229,905
o,0.9,4.074,5.775,839
e,0.9,4.074,5.582,811
s,1,4.527,5.465,794
r,1,4.527,5.458,793
i,0.85,3.848,5.403,785
u,0.75,3.395,5.203,756
l,0.85,3.848,4.818,700
p,1,4.527,4.357,633
t,1,4.527,4.302,625
k,1,4.527,4.247,617
f,1,4.527,4.157,604
b,1,4.527,4.061,590
g,1,4.527,4.026,585
n,1,4.527,3.868,562
d,1,4.527,3.854,560
m,1,4.527,3.806,553
v,1,4.527,3.696,537
z,1,4.527,3.469,504
x,0.6,2.716,2.381,346
q,0.6,2.716,1.982,288
tx,0.5,2.263,1.108,161
dj,0.5,2.263,1.087,158
y,0.45,2.037,1.060,154
w,0.45,2.037,1.053,153
j,0.15,0.679,0.970,141
c,0.16,0.724,0.922,134
h,0.3,1.358,0.881,128
C,0.13,0.589,0.778,113
