sound,weight,wanted_share,got_share,words
s,1,4.527,6.617,1009
a,1,4.527,6.401,976
o,0.9,4.074,6.309,962
r,1,4.527,5.975,911
l,0.85,3.848,5.227,797
e,0.9,4.074,4.925,751
t,1,4.527,4.906,748
i,0.85,3.848,4.788,730
p,1,4.527,4.689,715
k,1,4.527,4.669,712
u,0.75,3.395,4.440,677
d,1,4.527,4.119,628
z,1,4.527,4.046,617
f,1,4.527,3.915,597
n,1,4.527,3.902,595
b,1,4.527,3.889,593
g,1,4.527,3.679,561
m,1,4.527,3.227,492
v,1,4.527,3.043,464
x,0.6,2.716,1.738,265
q,0.6,2.716,1.646,251
dj,0.5,2.263,1.207,184
tx,0.5,2.263,1.207,184
c,0.16,0.724,1.023,156
w,0.45,2.037,0.964,147
y,0.45,2.037,0.951,145
j,0.15,0.679,0.885,135
C,0.13,0.589,0.820,125
h,0.3,1.358,0.794,121
