sound,weight,wanted_share,got_share,words
a,1,4.527,6.502,959
s,1,4.527,5.824,859
o,0.9,4.074,5.769,851
r,1,4.527,5.668,836
e,0.9,4.074,5.431,801
i,0.85,3.848,5.180,764
u,0.75,3.395,4.888,721
l,0.85,3.848,4.786,706
p,1,4.527,4.434,654
k,1,4.527,4.414,651
t,1,4.527,4.373,645
b,1,4.527,4.068,600
f,1,4.527,4.034,595
n,1,4.527,3.966,585
d,1,4.527,3.966,585
g,1,4.527,3.919,578
m,1,4.527,3.708,547
z,1,4.527,3.675,542
v,1,4.527,3.586,529
x,0.6,2.716,2.129,314
q,0.6,2.716,1.946,287
dj,0.5,2.263,1.200,177
tx,0.5,2.263,1.200,177
y,0.45,2.037,1.071,158
w,0.45,2.037,1.031,152
c,0.16,0.724,0.847,125
j,0.15,0.679,0.834,123
h,0.3,1.358,0.827,122
C,0.13,0.589,0.725,107
